fold0_train,fold0_test,fold1_train,fold1_test,fold2_train,fold2_test,fold3_train,fold3_test,fold4_train,fold4_test,twitter_train
4467647159014178,4469447743803129,4463632388123247,4468248122303492,4467956598085069,4468400484920631,4473843516972397,4466178346708147,4467645782908291,4466171908922564,692550140754841603
4473666744171379,4463632388123247,4468734179335233,4473666744171379,4473760385747993,4469311550496174,4467944107409588,4464548373717200,4464429045647263,4469311550496174,501774615837163521
4469701126634487,4466178346708147,4468664931312309,4468265240178357,4466411679787090,4469108794219833,4468156439482840,4470039111488996,4464406538945086,4464426155394196,687643002240679936
4467811239905643,4471315618321333,4464157032449950,4473038315457573,4468437151892906,4464406538945086,4464622066851902,4473498166956193,4468707273682051,4473716186899788,692451275930234880
4468710095892412,4467779174701613,4468726328062876,4466209929660387,4464414549911113,4472986851303396,4473716186899788,4464405754101606,4468226094679919,4468450380956473,688763099298529280
4472732978609200,4464544371580509,4468590218829169,4469447743803129,4464544371580509,4463632388123247,4473736830783360,4468726328062876,4471135989228689,4468400484920631,675065047710892033
4468788181458672,4473643621128850,4465002524434627,4470039111488996,4465266631436753,4469289933551784,4464657034915640,4471135989228689,4466451207747960,4466411679787090,669613420665159680
4464641235049743,4469658306840901,4467819280100818,4467811239905643,4471202221120305,4463864542084593,4466090010912264,4473666744171379,4474525762882990,4465266631436753,692113839387709444
4464600864762956,4466411679787090,4465698426308836,4464429045647263,4464426155394196,4471135989228689,4467779174701613,4469289933551784,4474458733620328,4468265240178357,665361505303584774
4468329533829064,4468734179335233,4467150859023413,4472986851303396,4469018251396669,4464429045647263,4469108794219833,4469018251396669,4469289933551784,4464548373717200,544457299667202048
4464434150269928,4472732185602181,4468292070752392,4471315618321333,4474926621242011,4466171908922564,4463812289565427,4471202221120305,4464606091048713,4464434150269928,693676692309700609
4464548373717200,4468726328062876,4467648903330867,4473760385747993,4464425057122646,4464434150269928,4468722858772881,4464606091048713,4474133725577308,4473736830783360,651825062174195712
4470039111488996,4467911940553101,4475036943683410,4469108794219833,4465013860959767,4464641235049743,4468265240178357,4474525762882990,4467911940553101,4473843516972397,636925368927064064
4468290891762973,4466209929660387,4467690675075747,4468437151892906,4472720135764687,4468329533829064,4467802263575612,4473643621128850,4473038315457573,4473695546602906,532199717594497024
4466171908922564,4468707352850070,4463962899193527,4466451207747960,4472860678527506,4467645782908291,4471315618321333,4466411679787090,4468211465008746,4467779174701613,594687353937100801
4464597853984443,4471135989228689,4466178346708147,4464434150269928,4473695546602906,4466451207747960,4469019241437217,4464641235049743,4472732185602181,4464622066851902,688147918113538049
4473432114759440,4473038315457573,4468660947475097,4468156439482840,4464588995453781,4468664931312309,4472986851303396,4464600864762956,4468707352850070,4471202221120305,692702295281262593
4469391297282468,4466451207747960,4468400484920631,4464406538945086,4473643621128850,4468450380956473,4469141572878943,4469447743803129,4468248122303492,4467811239905643,765612862681255936
4468450380956473,4463962899193527,4469658306840901,4467802263575612,4467811973481568,4469019241437217,4463864542084593,4466209929660387,4464405754101606,4465013860959767,519935535083565056
4473498166956193,4468211465008746,4469311550496174,4463812289565427,4466209929660387,4473716186899788,4468284466777272,4465002524434627,4469447743803129,4472720135764687,613023744454475776
,4464426155394196,,4467911940553101,,4464548373717200,,4474458733620328,,4473643621128850,553008832784642048
,4475036943683410,,4473843516972397,,4473498166956193,,4468292070752392,,4468726328062876,693140340367187969
,4468292070752392,,4468284466777272,,4467648903330867,,4468590218829169,,4467811973481568,387353560356118528
,4464588995453781,,4468450380956473,,4467911940553101,,4468664931312309,,4465698426308836,372914976102834176
,4467956598085069,,4464588995453781,,4468590218829169,,4474926621242011,,4475036943683410,767459987476054016
,4464429045647263,,4471135989228689,,4468211465008746,,4474133725577308,,4463812289565427,489820657291911168
,4468437151892906,,4473498166956193,,4464622066851902,,4468329533829064,,4469658306840901,674301413040758785
,4472860678527506,,4472732185602181,,4468660947475097,,4473432114759440,,4469141572878943,723025600810766336
,4468226094679919,,4468707273682051,,4465698426308836,,4468707352850070,,4473498166956193,693573042111270912
,4472986851303396,,4469018251396669,,4468284466777272,,4464588995453781,,4472986851303396,504652021601800193
,4473736830783360,,4464425057122646,,4467802263575612,,4465698426308836,,4469391297282468,539052152602107904
,4467811973481568,,4473716186899788,,4464657034915640,,4464426155394196,,4471315618321333,652992524504600576
,4474525762882990,,4474525762882990,,4469391297282468,,4467811973481568,,4463632388123247,633949800761700352
,4464157032449950,,4464597853984443,,4469701126634487,,4464157032449950,,4463962899193527,686701278785843200
,4473843516972397,,4466090010912264,,4467647159014178,,4464544371580509,,4467944107409588,532246457609244672
,4473695546602906,,4474458733620328,,4472732978609200,,4469311550496174,,4464544371580509,692082337333534720
,4468400484920631,,4468788181458672,,4467819280100818,,4467648903330867,,4467647159014178,693855615618322432
,4464622066851902,,4474133725577308,,4468292070752392,,4467819280100818,,4468437151892906,766323684076322816
,4468265240178357,,4464405754101606,,4468265240178357,,4467956598085069,,4463864542084593,767814876433571840
,4469311550496174,,4473643621128850,,4473666744171379,,4468211465008746,,4469108794219833,767094580634202112
,4467645782908291,,4467779174701613,,4463812289565427,,4466451207747960,,4470039111488996,436074888638763008
,4465002524434627,,4464600864762956,,4468290891762973,,4467150859023413,,4467819280100818,489802446001434625
,4467944107409588,,4473432114759440,,4464597853984443,,4469658306840901,,4473432114759440,688752484966363136
,4469019241437217,,4463864542084593,,4464600864762956,,4468400484920631,,4469018251396669,501781217411215360
